catalogNumber,country,stateProvince,decimalLatitude,decimalLongitude,IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions),"IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Subregions), contextual (polygon)",Precipitation - annual (Bio12),Precipitation - seasonality (Bio15),WorldClim 2.1: Precipitation - annual,WorldClim 2.1: Precipitation - seasonality,Radiation - annual mean (Bio20),Radiation - seasonality (Bio23),Temperature - annual mean (Bio01),Temperature - annual range (Bio07),WorldClim 2.1: Temperature - annual mean,WorldClim 2.1: Temperature - annual range,Moisture Index - annual mean (Bio28),Forests of Australia 2018B,National Dynamic Land Cover,Vegetation types - present,NVIS 4.1 Major Vegetation Groups,NVIS 4.1 Major Vegetation Subgroups,Vegetation types - native
102.100.100/9498,Australia,South Australia,-34.57692,139.0061,Flinders Lofty Block,Mount Lofty Ranges,692,52,722,49.41075,17.2,42,13.5,23.5,13.85,23.300001,0.6,Eucalypt Low Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/15959,Australia,Tasmania,-42.8072,147.43977,Tasmanian South East,South East,482,16,537,16.675825,14,47,12.6,19.2,12.4625,19.7,0.55,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/401584,Australia,New South Wales,-33.74775,151.04044,Sydney Basin,Cumberland,1049,31,1105,29.50818,16.6,34,17.2,22.4,17.104166,21.400002,0.78,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/139656,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/13268,Australia,Tasmania,-39.935,144.11969,King,King,925,38,1068,38.053066,14,51,13.3,13.1,13.283334,12.200001,0.76,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/7093,Australia,South Australia,-31.40915,130.993683,Nullarbor,Nullarbor Plain,245,26,208,33.570408,19.7,34,17.4,23.7,17.629168,23.7,0.13,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,"Chenopod shrublands, samphire shrubs and forblands","Chenopod Shrublands, Samphire Shrublands and Forblands",Saltbush and/or Bluebush shrublands,"Chenopod shrubs,samphire shrublands and forblands"
102.100.100/8158,Australia,Northern Territory,-25.3504,131.0516,Great Sandy Desert,Mackay,285,49,314,45.431923,21.9,24,21.4,34.9,21.591667,33.7,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/138610,Australia,Northern Territory,-13.98404,136.48354,Arnhem Coast,Groote,1130,106,1226,104.04073,20.9,16,26.6,18.5,26.8125,18.300001,0.49,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt open forests
102.100.100/19511,Australia,New South Wales,-33.61255,150.72095,Sydney Basin,Cumberland,820,37,850,33.34117,17.1,33,17.7,26.2,17.279167,25.199999,0.58,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/7039,Australia,Northern Territory,-25.709633,133.24855,Finke,Tieyon,244,54,247,43.618317,22,24,21,32.9,20.966667,31.600002,0.09,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Acacia shrublands,Acacia Shrublands,Mulga (Acacia aneura) woodlands and shrublands +/- tussock grass +/- forbs,Acacia shrublands
102.100.100/401606,Australia,New South Wales,-33.311,150.25119,Sydney Basin,Wollemi,986,22,1066,23.242918,16.7,33,11.9,24.5,11.708333,22.3,0.82,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/138525,Australia,Tasmania,-41.0368,147.00798,Furneaux,Flinders,785,27,814,31.040506,14.1,49,12.9,17.6,12.829166,17.300001,0.73,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/9492,Australia,South Australia,-32.74842,138.1363,Flinders Lofty Block,Southern Flinders,548,42,493,35.686142,18.4,38,15.1,27.4,14.983334,25.5,0.44,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/12432,Australia,Tasmania,-42.1738,148.2791,Tasmanian South East,South East,681.6667,15.833333,699,17.834408,13.75,46,12.633333,17.083334,12.541667,16.300001,0.71333337,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",
102.100.100/12580,Australia,Australian Capital Territory,-35.874867,149.01088,South Eastern Highlands,Murrumbateman,662,16,696,15.965281,16.6,38,9.5,26.3,9.604167,26.5,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/19513,Australia,New South Wales,-33.61103,150.72,Sydney Basin,Cumberland,816,37,850,33.34117,17.1,33,17.7,26.3,17.279167,25.199999,0.57,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/7843,Australia,Australian Capital Territory,-35.151228,150.648699,Sydney Basin,Jervis,1193,20,1201,23.4959,15.8,38,17,16.9,16.541666,16.099998,0.75,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",
102.100.100/8158,Australia,Northern Territory,-25.3504,131.0516,Great Sandy Desert,Mackay,285,49,314,45.431923,21.9,24,21.4,34.9,21.591667,33.7,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/9486,Australia,South Australia,-35.27211,138.6902,Kanmantoo,Fleurieu,826,53,892,53.3031,16.5,44,14.1,20.9,14.079166,19.7,0.63,Eucalypt Low Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/7894,Australia,Western Australia,-34.241561,118.721042,Esperance Plains,Fitzgerald,438,31,423,32.727753,17.3,37,16,20.8,16.045834,20.9,0.38,Eucalypt Mallee Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,"cleared, non-native vegetation, buildings",Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/9432,Australia,Australian Capital Territory,-35.519917,148.772433,Australian Alps,Snowy Mountains,1322,17,1047,15.126717,15.3,40,7.9,23.6,7.170833,23,0.88,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",Eucalypt open forests
102.100.100/9508,Australia,South Australia,-30.77565,138.7976,Flinders Lofty Block,Northern Flinders,383,21,352,13.211764,19.8,33,14.9,29.3,15.566667,27.9,0.24,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Eucalyptus open woodlands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with a shrubby understorey,Eucalypt open woodlands
102.100.100/19459,Australia,New South Wales,-33.61292,150.73795,Sydney Basin,Cumberland,823,37,850,32.765514,17,33,17.7,26.1,17.333334,25.3,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",unknown/no data
102.100.100/8084,Australia,Western Australia,-30.111883,115.258517,Geraldton Sandplains,Lesueur Sandplain,571,83,547,82.74932,19.9,35,19.2,25.7,19.266666,26.3,0.43,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings",Other Shrublands,Other shrublands,Other shrublands
102.100.100/9526,Australia,South Australia,-34.04459,140.7615,Riverina,Murray Scroll Belt,247,28,265,25.291378,18.5,38,17.6,28.4,17.616667,27.9,0.18,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings",Unknown/no data,Unknown/No data,Eucalypt woodlands
102.100.100/9436,Australia,Australian Capital Territory,-35.607278,148.929694,South Eastern Highlands,Murrumbateman,900,12,854,13.249333,16.1,39,10.7,26.6,10.429167,26.4,0.75,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Unknown/no data,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/9430,Australia,Australian Capital Territory,-35.601567,148.950867,Australian Alps,Snowy Mountains,985,11,858,11.366479,15.9,39,9,24.7,9.066667,25.1,0.8,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/15863,Australia,Queensland,-13.68124,143.13999,Cape York Peninsula,Coen-Yambo Inlier,1228,123,1393,116.01803,19.9,17,26,17.1,26.058332,16.499998,0.47,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/7031,Australia,South Australia,-31.242834,136.740389,Gawler,Arcoona Plateau,176,23,200,19.805193,20.2,33,19.1,29.8,18.895834,28.199999,0.09,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,"Chenopod shrublands, samphire shrubs and forblands","Chenopod Shrublands, Samphire Shrublands and Forblands",Saltbush and/or Bluebush shrublands,"Chenopod shrubs,samphire shrublands and forblands"
102.100.100/8269,Australia,Victoria,-35.12282,141.99678,Murray Darling Depression,Murray Mallee,316,26,350,20.18036,17.8,40,16.5,28,16.483334,27.199999,0.3,Eucalypt Mallee Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings",Mallee Woodlands and Shrublands,Mallee  with an open shrubby understorey,Mallee woodlands and shrublands
102.100.100/13735,Australia,Western Australia,-30.194439,120.633674,Coolgardie,Eastern Goldfield,290,29,265,29.811872,20,33,19.1,30.5,18.770834,29.900002,0.16,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/7067,Australia,Western Australia,-21.116517,116.828567,Pilbara,Roebourne,296,105,317,92.93215,23.1,23,26.8,25.9,27.170834,26.6,0.09,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Hummock grasslands,Hummock Grasslands,Hummock grasslands,Hummock grasslands
102.100.100/7091,Australia,Western Australia,-31.863317,126.9831,Hampton,Hampton,266,20,238,17.823376,19.2,34,17.2,21.9,17.970833,24.8,0.15,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/15977,Australia,Tasmania,-42.27154,146.8927,Tasmanian South East,South East,640,17,713,17.986122,13.7,48,8.9,21.6,9.466666,22.3,0.78,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Tussock grasslands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Tussock grasslands
102.100.100/8529,Australia,Northern Territory,-12.67332,132.48192,Darwin Coastal,Darwin Coastal,1436,112,1552,111.88581,21.2,10,28.1,20,27.495832,19.199999,0.49,Other native forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/9452,Australia,Australian Capital Territory,-35.3929,148.81485,Australian Alps,Snowy Mountains,1142,16,1008,15.132839,15.7,40,10,25.3,9.604167,24.5,0.81,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Unknown/no data,Unknown/no data,Unknown/No data,Eucalypt open forests
102.100.100/12584,Australia,Victoria,-34.42796,142.27515,Murray Darling Depression,Murray Mallee,281,24,317,15.742643,18.3,39,17.1,29,17.104166,28.2,0.22,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/12475,Australia,Australian Capital Territory,-35.42385,148.796583,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Other forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/13272,Australia,Tasmania,-39.89131,144.07319,King,King,894,38,1014,38.302166,14.1,51,13.6,13.3,13.504167,12.700001,0.75,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Low closed forest and tall closed shrubland,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Low closed forests and closed shrublands
102.100.100/9573,Australia,Tasmania,-42.041572,146.299029,Tasmanian Central Highlands,Central Highlands,1427,24,1441,24.143732,12.1,52,6.5,18.8,6.575,18.800001,0.99,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Heathlands,Heathlands,Eucalypt woodlands
102.100.100/9440,Australia,Australian Capital Territory,-35.4502,148.7826,Australian Alps,Snowy Mountains,1133,16,1005,14.968602,15.7,40,10,25.5,8.8125,24.3,0.81,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/138530,Australia,Tasmania,-40.991764,147.063393,Furneaux,Flinders,726,27,785,31.884417,14.2,49,13.2,17.5,13.2375,16.5,0.7,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Scattered,,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,
102.100.100/9502,Australia,South Australia,-34.88076,138.7083,Flinders Lofty Block,Mount Lofty Ranges,655,51,671,48.675503,17.1,43,15.8,23.1,15.5125,21.2,0.56,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings",Other Shrublands,Other shrublands,Eucalypt woodlands
102.100.100/15871,Australia,Queensland,-13.53235,143.04753,Cape York Peninsula,Coen-Yambo Inlier,1274,121,1405,113.60118,19.8,17,26.2,16.9,25.983334,16.4,0.47,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/138537,Australia,Tasmania,-40.985643,147.003051,,,750.4286,26.857143,755,30.784996,14.157143,49,13.014286,17.3,13.175,16.099998,0.71428573,,,Heathlands,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",Heathlands
102.100.100/8509,Australia,Northern Territory,-13.521618,132.453114,Arnhem Plateau,Alligator,1307,112,1319,107.115395,21.3,10,27.5,22.1,27.487501,19.7,0.48,Eucalypt Low Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Tropical eucalypt woodlands/grasslands,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,Tropical eucalypt woodlands/grasslands
102.100.100/12582,Australia,Australian Capital Territory,-35.874817,149.01165,South Eastern Highlands,Murrumbateman,662,16,696,15.965281,16.6,38,9.5,26.3,9.604167,26.5,0.63,Eucalypt Tall Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Tussock grasslands
102.100.100/9588,Australia,Tasmania,-41.183515,148.032013,Ben Lomond,Ben Lomond,1388,22,1203,22.494898,12.7,49,9.8,17.2,9.483334,16.3,0.95,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Other forests and woodlands,Rainforests and Vine Thickets,,Other forests and woodlands
102.100.100/12560,Australia,Australian Capital Territory,-35.881,149.0076,South Eastern Highlands,Murrumbateman,641,17,723,14.555106,16.7,38,9.8,26.7,9.354167,26.1,0.61,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/8270,Australia,Victoria,-36.67146,142.28934,Murray Darling Depression,Wimmera,408,34,458,30.382557,16.8,43,14.7,27.1,14.620833,25.9,0.42,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/7075,Australia,Western Australia,-28.050517,120.546167,Murchison,Eastern Murchison,255,45,255,37.70633,21,30,21,31.9,20.779167,31.300001,0.12,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Acacia shrublands,Acacia Shrublands,Mulga (Acacia aneura) woodlands and shrublands +/- tussock grass +/- forbs,Acacia shrublands
102.100.100/138516,Australia,Victoria,-36.40655,141.96059,Murray Darling Depression,Wimmera,379,34,403,28.663744,17,42,15,27.4,15.075,26.2,0.38,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings",Other Shrublands,Melaleuca shrublands and open shrublands,Casuarina forests and woodlands
102.100.100/12434,Australia,Tasmania,-42.173,148.2851,Tasmanian South East,South East,638,17,710,17.615637,13.9,46,13.2,17.1,12.483334,16.3,0.66,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/401656,Australia,New South Wales,-32.3984,150.26933,Sydney Basin,Kerrabee,627,25,637,30.883944,18,32,16.8,28.9,16.983334,25.400002,0.42,Other native forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/7826,Australia,Australian Capital Territory,-35.141945,150.759602,Sydney Basin,Jervis,1278,21,,,15.7,38,16.9,15.8,,,0.78,Eucalypt Low Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,,Heathlands,Heathlands,
102.100.100/16013,Australia,Tasmania,-42.0154,147.49095,Tasmanian Northern Midlands,Northern Midlands,490,15,496,15.38596,14.3,47,11.5,23.3,11.841666,22.9,0.55,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/138536,Australia,Tasmania,-40.985643,147.003051,,,750.4286,26.857143,755,30.784996,14.157143,49,13.014286,17.3,13.175,16.099998,0.71428573,,,Heathlands,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",Heathlands
102.100.100/14187,Australia,Tasmania,-41.58365,145.09314,Tasmanian West,West,1864,31,1703,30.435978,11.6,54,11.3,16.2,11.275,15.6,0.98,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,"Other Grasslands, Herblands, Sedgelands and Rushlands","Sedgelands, rushs or reeds",Rainforests and vine thickets
102.100.100/9490,Australia,South Australia,-32.30339,137.9574,Flinders Lofty Block,Southern Flinders,407,34,439,29.420906,19,36,16.4,28.3,16.4,26.5,0.29,Eucalypt Low Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Callitris forests and woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a hummock grass understorey,Callitris forests and woodlands
102.100.100/7059,Australia,Western Australia,-17.873567,127.873017,Central Kimberley,Hart,643,122,586,121.54168,22.3,12,26.7,27.9,26.933332,25.599998,0.21,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Hummock grasslands,Tussock Grasslands,Other tussock grasslands,Hummock grasslands
102.100.100/401624,Australia,New South Wales,-33.5857,151.28383,Sydney Basin,Pittwater,1291,28,1311,28.063665,16.2,34,17.3,20.1,16.9875,17,0.86,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt open forests
102.100.100/401642,Australia,New South Wales,-30.3214,152.9722,NSW North Coast,Coffs Coast and Escarpment,1692,49,1848,47.077087,16.4,27,17.7,23,17.779167,18.900002,0.89,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt tall open forests
102.100.100/12461,Australia,Australian Capital Territory,-35.423733,148.797583,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Other forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/13276,Australia,Tasmania,-39.66524,143.97764,King,King,880,36,956,39.081623,14.2,50,13.6,13.3,13.641666,14.299999,0.75,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/9448,Australia,Australian Capital Territory,-35.3952,148.8234,South Eastern Highlands,Bondo,1125,16,1005,15.128407,15.8,40,10.5,25.8,9.620833,24.4,0.8,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Unknown/no data,Unknown/No data,Eucalypt open forests
102.100.100/138524,Australia,Tasmania,-41.0368,147.00798,Furneaux,Flinders,785,27,814,31.040506,14.1,49,12.9,17.6,12.829166,17.300001,0.73,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/8459,Australia,Northern Territory,-25.2875,130.92864,Great Sandy Desert,Mackay,289,50,308,47.03722,21.9,24,21.7,35,21.625,34,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Casuarina forests and woodlands,Other Open Woodlands,Casuarina and Allocasuarina open woodlands with a hummock grass understorey,Casuarina forests and woodlands
102.100.100/401666,Australia,New South Wales,-31.5209,147.20875,Darling Riverine Plains,Bogan-Macquarie,479,23,505,26.249954,18.7,34,19,31.2,18.808334,30.000002,0.28,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Acacia forests and woodlands,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Acacia forests and woodlands
102.100.100/139593,Australia,Western Australia,-31.008657,118.762721,Avon Wheatbelt,Merredin,301,40,297,39.71207,19.6,34,18.6,30.5,18.545834,29.099998,0.2,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12564,Australia,Australian Capital Territory,-35.876683,149.0097,South Eastern Highlands,Murrumbateman,655,16,725,14.849376,16.7,38,9.6,26.4,9.345833,26.1,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/138532,Australia,Tasmania,-41.036665,147.00794,Furneaux,Flinders,785,27,814,31.040506,14.1,49,12.9,17.6,12.829166,17.300001,0.73,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
